Unnamed: 0,ano,nivel,tipo_contrato,cargo,salary,salary_currency,salario_usd,pais_profissional,remoto_ratio,pais_empresa,company_size,nivel_legivel,modalidade
263,2021,SE,FT,Machine Learning Engineer,4900000,INR,66265,IN,0,IN,L,Sênior,Presencial
264,2021,MI,FT,Data Scientist,21600,EUR,25532,RS,100,DE,S,Pleno/Mid,Remoto
265,2021,SE,FT,Lead Data Engineer,160000,USD,160000,PR,50,US,S,Sênior,Híbrido
266,2021,MI,FT,Data Engineer,93150,USD,93150,US,0,US,M,Pleno/Mid,Presencial
267,2021,MI,FT,Data Engineer,111775,USD,111775,US,0,US,M,Pleno/Mid,Presencial
268,2021,MI,FT,Data Engineer,250000,TRY,28016,TR,100,TR,M,Pleno/Mid,Remoto
269,2021,EN,FT,Data Engineer,55000,EUR,65013,DE,50,DE,M,Júnior/Entry,Híbrido
270,2021,EN,FT,Data Engineer,72500,USD,72500,US,100,US,L,Júnior/Entry,Remoto
271,2021,SE,FT,Computer Vision Engineer,102000,BRL,18907,BR,0,BR,M,Sênior,Presencial
272,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,0,DE,L,Júnior/Entry,Presencial
273,2021,EN,FT,Machine Learning Engineer,85000,USD,85000,NL,100,DE,S,Júnior/Entry,Remoto
274,2021,SE,FT,Data Scientist,65720,EUR,77684,FR,50,FR,M,Sênior,Híbrido
275,2021,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M,Júnior/Entry,Remoto
276,2021,EN,FT,Data Scientist,58000,USD,58000,US,50,US,L,Júnior/Entry,Híbrido
277,2021,SE,FT,AI Scientist,55000,USD,55000,ES,100,ES,L,Sênior,Remoto
278,2021,SE,FT,Data Scientist,180000,TRY,20171,TR,50,TR,L,Sênior,Híbrido
279,2021,EN,FT,Business Data Analyst,50000,EUR,59102,LU,100,LU,L,Júnior/Entry,Remoto
280,2021,MI,FT,Data Engineer,112000,USD,112000,US,100,US,L,Pleno/Mid,Remoto
281,2021,EN,FT,Research Scientist,100000,USD,100000,JE,0,CN,L,Júnior/Entry,Presencial
282,2021,MI,PT,Data Engineer,59000,EUR,69741,NL,100,NL,L,Pleno/Mid,Remoto
283,2021,SE,CT,Staff Data Scientist,105000,USD,105000,US,100,US,M,Sênior,Remoto
284,2021,MI,FT,Research Scientist,69999,USD,69999,CZ,50,CZ,L,Pleno/Mid,Híbrido
285,2021,SE,FT,Data Science Manager,7000000,INR,94665,IN,50,IN,L,Sênior,Híbrido
286,2021,SE,FT,Head of Data,87000,EUR,102839,SI,100,SI,L,Sênior,Remoto
287,2021,MI,FT,Data Scientist,109000,USD,109000,US,50,US,L,Pleno/Mid,Híbrido
288,2021,MI,FT,Machine Learning Engineer,43200,EUR,51064,IT,50,IT,L,Pleno/Mid,Híbrido
289,2022,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M,Sênior,Remoto
290,2022,SE,FT,Data Analyst,155000,USD,155000,US,100,US,M,Sênior,Remoto
291,2022,SE,FT,Data Analyst,120600,USD,120600,US,100,US,M,Sênior,Remoto
292,2022,MI,FT,Data Scientist,130000,USD,130000,US,0,US,M,Pleno/Mid,Presencial
293,2022,MI,FT,Data Scientist,90000,USD,90000,US,0,US,M,Pleno/Mid,Presencial
294,2022,MI,FT,Data Engineer,170000,USD,170000,US,100,US,M,Pleno/Mid,Remoto
295,2022,MI,FT,Data Engineer,150000,USD,150000,US,100,US,M,Pleno/Mid,Remoto
296,2022,SE,FT,Data Analyst,102100,USD,102100,US,100,US,M,Sênior,Remoto
297,2022,SE,FT,Data Analyst,84900,USD,84900,US,100,US,M,Sênior,Remoto
298,2022,SE,FT,Data Scientist,136620,USD,136620,US,100,US,M,Sênior,Remoto
299,2022,SE,FT,Data Scientist,99360,USD,99360,US,100,US,M,Sênior,Remoto
300,2022,SE,FT,Data Scientist,90000,GBP,117789,GB,0,GB,M,Sênior,Presencial
301,2022,SE,FT,Data Scientist,80000,GBP,104702,GB,0,GB,M,Sênior,Presencial
302,2022,SE,FT,Data Scientist,146000,USD,146000,US,100,US,M,Sênior,Remoto
303,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M,Sênior,Remoto
304,2022,EN,FT,Data Engineer,40000,GBP,52351,GB,100,GB,M,Júnior/Entry,Remoto
305,2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M,Sênior,Presencial
306,2022,SE,FT,Data Analyst,116000,USD,116000,US,0,US,M,Sênior,Presencial
307,2022,MI,FT,Data Analyst,106260,USD,106260,US,0,US,M,Pleno/Mid,Presencial
